,kf,n,Kin,MBPT_HF,MBPT_2,MBPT_3,MBPT_4,total,Lambda,OrderEFT,Body,x,fit
79,1.92255,0.24,45.98552,-20.81353,-1.50252,0.34515999999999997,-0.16738000000000006,23.79837934405532,450,LO,NN+3N,0.0,
80,1.94889,0.25,47.25419,-21.48039,-1.4461700000000002,0.33236000000000004,-0.16454999999999995,24.463447371010943,450,LO,NN+3N,0.0,
81,1.97453,0.26,48.50605,-22.13611,-1.39139,0.31930000000000003,-0.15844,25.120622170298702,450,LO,NN+3N,0.0,
82,1.99953,0.27,49.74195,-22.78095,-1.33836,0.30622,-0.15506999999999993,25.770097584549603,450,LO,NN+3N,0.0,
83,2.02392,0.28,50.96269,-23.41515,-1.28746,0.29272,-0.14548999999999998,26.411358874014013,450,LO,NN+3N,0.0,
84,2.04773,0.29,52.16898,-24.03893,-1.23842,0.27967000000000003,-0.13924000000000006,27.043942614225443,450,LO,NN+3N,0.0,
85,2.071,0.3,53.36147,-24.652520000000006,-1.19147,0.26731,-0.13681,27.667711788859606,450,LO,NN+3N,0.0,
86,2.09376,0.31,54.54079,-25.25615,-1.14601,0.25544999999999995,-0.13601,28.28232656856244,450,LO,NN+3N,0.0,
87,2.1160400000000004,0.32,55.70749,-25.85003,-1.10276,0.24399000000000004,-0.1214,28.887507202649658,450,LO,NN+3N,0.0,
88,2.13786,0.33,56.86211,-26.43437,-1.06155,0.23206,-0.11412,29.482760370073947,450,LO,NN+3N,0.0,
89,2.15924,0.34,58.00511,-27.00938,-1.02167,0.22171,-0.11479,30.067648159372993,450,LO,NN+3N,0.0,
90,0.90459,0.05,10.18061,-8.28301,-7.58971,-1.26699,-0.43997999999999937,-7.402019301644032,450,LO,NN+3N,0.5,
91,0.96127,0.06,11.49638,-9.71307,-8.38711,-1.1588,-0.1699200000000003,-7.933868060577879,450,LO,NN+3N,0.5,
92,1.01196,0.07,12.74067,-11.11012,-9.04788,-1.0377299999999998,0.06416999999999984,-8.382014317621724,450,LO,NN+3N,0.5,
93,1.0580200000000002,0.08,13.92687,-12.47907,-9.59338,-0.91438,0.27315999999999896,-8.781115596690142,450,LO,NN+3N,0.5,
94,1.10038,0.09,15.064520000000002,-13.823479999999998,-10.03898,-0.7909299999999999,0.42539000000000105,-9.14902356427774,450,LO,NN+3N,0.5,
95,1.13972,0.1,16.16071,-15.146,-10.40023,-0.67838,0.5745899999999997,-9.49499133482459,450,LO,NN+3N,0.5,
96,1.17651,0.11,17.220879999999998,-16.44867,-10.68766,-0.5659000000000001,0.6886400000000004,-9.823416432209342,450,LO,NN+3N,0.5,
97,1.2111299999999998,0.12,18.249370000000006,-17.73312,-10.91132,-0.4663,0.7389099999999997,-10.136645817594399,450,LO,NN+3N,0.5,
98,1.24388,0.13,19.24964,-19.00065,-11.0809,-0.3715499999999998,0.7698800000000015,-10.435964578933635,450,LO,NN+3N,0.5,
99,1.27499,0.14,20.22456,-20.25234,-11.2015,-0.2832300000000001,0.8069400000000009,-10.722111638908245,450,LO,NN+3N,0.5,
100,1.30465,0.15,21.17651,-21.48908,-11.2795,-0.2086699999999999,0.8120400000000005,-10.995732237184711,450,LO,NN+3N,0.5,
101,1.33302,0.16,22.10753,-22.71162,-11.3181,-0.13908999999999996,0.7939999999999996,-11.257518964077462,450,LO,NN+3N,0.5,
102,1.3602299999999998,0.17,23.01934,-23.92061,-11.32483,-0.07252000000000014,0.7980300000000007,-11.508192993565899,450,LO,NN+3N,0.5,
103,1.3864,0.18,23.91344,-25.11662,-11.30362,-0.020080000000000098,0.732260000000001,-11.748639142391767,450,LO,NN+3N,0.5,
104,1.41161,0.19,24.79111,-26.30011,-11.25883,0.03381999999999996,0.7424900000000011,-11.97957106604008,450,LO,NN+3N,0.5,
105,1.43595,0.2,25.65352,-27.47152,-11.19383,0.0772400000000002,0.6411099999999985,-12.201931815576245,450,LO,NN+3N,0.5,
106,1.4595,0.21,26.50167,-28.63123,-11.10917,0.11856000000000012,0.6367299999999996,-12.416656098412204,450,LO,NN+3N,0.5,
107,1.48231,0.22,27.33645,-29.65108,-10.93721,0.15592000000000006,0.5354399999999999,-12.62444387224241,450,LO,NN+3N,0.5,
108,1.50443,0.23,28.15867,-30.77484,-10.82303,0.18689,0.4740600000000002,-12.825997820116754,450,LO,NN+3N,0.5,
109,1.52593,0.24,28.96906,-31.88723,-10.69644,0.2149,0.4122999999999997,-13.022177596343681,450,LO,NN+3N,0.5,
110,1.54683,0.25,29.76827,-32.98851,-10.56003,0.2391400000000001,0.3526499999999997,-13.213341372644209,450,LO,NN+3N,0.5,
111,1.56719,0.26,30.556890000000006,-34.07893,-10.41591,0.25899000000000005,0.2924099999999994,-13.400153722923278,450,LO,NN+3N,0.5,
112,1.58703,0.27,31.33547,-35.15871,-10.26656,0.27723000000000003,0.2340500000000003,-13.582845917633676,450,LO,NN+3N,0.5,
113,1.60639,0.28,32.10448,-36.22808,-10.11046,0.29057999999999995,0.17822999999999967,-13.761761836791266,450,LO,NN+3N,0.5,
114,1.62529,0.29,32.8644,-37.28723,-9.94979,0.3043,0.12311000000000005,-13.936989882742637,450,LO,NN+3N,0.5,
115,1.64376,0.3,33.61562,-38.33634,-9.78554,0.3153500000000001,0.08486000000000038,-14.108642410243192,450,LO,NN+3N,0.5,
116,1.66182,0.31,34.35855,-39.3756,-9.61906,0.3240500000000001,0.02469999999999928,-14.276675385961425,450,LO,NN+3N,0.5,
